work_order_id;equipment_id;equipment_type;fabricante;modelo;prioridade;tipo_manutencao;status;data_abertura;data_inicio;data_fim;tempo_reparo_min;causa_raiz;componente_afetado;severidade_falha;tempo_parada_h;horas_planejadas_em_aberto;equipe_capacidade_h_dia;tempo_disponivel_h;tempo_operado_h;local;turno;custo_estimado;responsavel;observacoes
WO0001;H009;Colhedora de cana;Valtra;Val-288;Alta;Corretiva;Aberta;2023-10-02 05:34;;;2218;Condições ambientais;Sistema hidráulico;4;22,2;5,4;12;23,1;0,9;Fazenda B;Tarde;21359;Srta. Catarina Costela;Laudantium voluptates fuga quasi labore. Suscipit corporis earum error. Autem vero omnis ullam necessitatibus molestiae.
WO0002;H006;Colhedora de cana;Valtra;Val-290;Alta;Preditiva;Concluída;2023-03-20 08:27;2023-03-20 15:22;2023-03-22 20:47;3205;Erro humano;Sistema hidráulico;4;6,8;31,5;16;16,4;9,6;Fazenda A;Manhã;28680;Daniel Sampaio;Incidunt sequi incidunt. Dolorem dolore hic nostrum iure ratione cupiditate. Voluptates quae possimus quae.
WO0003;H013;Colhedora de cana;AGCO;AGC-457;Alta;Preventiva;Concluída;2026-01-25 19:15;2026-01-27 17:41;2026-01-29 00:37;1856;Manutenção programada;Motor;4;9,4;35,1;14;13,8;4,4;Fazenda B;Manhã;4242;Caroline Siqueira;Itaque inventore nulla beatae inventore. Iusto culpa voluptatem doloribus eligendi iste.
WO0004;H010;Colhedora de cana;AGCO;AGC-327;Baixa;Corretiva;Aberta;2023-09-12 04:54;;;6985;Erro humano;Motor;1;1,6;41,7;15;14,5;12,9;Fazenda B;Tarde;1408;Joaquim Peixoto;"Qui fugiat sunt eos velit maiores veniam.
Dolore placeat modi nisi sint consectetur. At soluta quo maiores aliquid occaecati qui officia. Maiores libero quisquam cumque est aliquid eveniet cum."
WO0005;H008;Colhedora de cana;Valtra;Val-318;Baixa;Preditiva;Concluída;2023-10-02 17:17;2023-10-03 10:11;2023-10-07 00:28;5177;Condições ambientais;Sistema elétrico;1;10;39,4;16;21,2;11,2;Fazenda A;Noite;7395;Anthony Lima;
WO0006;T005;Trator;New Holland;New-T152;Média;Preditiva;Concluída;2024-06-20 01:52;2024-06-20 08:28;2024-06-20 18:03;575;Falha mecânica;Motor;3;19,6;32,7;10;23,3;3,7;Armazém;Noite;21423;João Pedro da Rosa;Quidem numquam blanditiis incidunt cum. Possimus illo error quas. Quidem repudiandae cum blanditiis dolorem.
WO0007;H015;Colhedora de cana;Case IH;Cas-360;Média;Preditiva;Em Andamento;2026-02-13 18:06;2026-02-14 08:56;;4507;Falha mecânica;Motor;2;11,1;21,5;16;11,7;0,6;Fazenda A;Noite;5657;Srta. Jade Fonseca;"Quidem ipsa tenetur eaque fugit. Exercitationem aliquid beatae.
Illum eius fugiat omnis. Minus sed nobis in. Accusantium dignissimos expedita saepe id."
WO0008;T010;Trator;Case IH;Cas-T77;Média;Preventiva;Aberta;2025-11-22 11:04;;;2235;Manutenção programada;Sistema hidráulico;3;9,7;31;14;14,2;4,5;Fazenda B;Tarde;18144;Sra. Maria Luísa Montenegro;
WO0009;H002;Colhedora de cana;New Holland;New-267;Baixa;Preventiva;Aberta;2026-02-22 12:44;;;4319;Manutenção programada;Transmissão;1;13,8;26;11;20,2;6,4;Armazém;Manhã;2183;Emanuella da Conceição;
WO0010;T003;Trator;AGCO;AGC-T75;Alta;Preventiva;Concluída;2023-04-10 00:36;2023-04-11 10:14;2023-04-16 10:13;7199;Manutenção programada;Motor;5;10,7;3,1;11;21,1;10,4;Fazenda A;Tarde;18407;Ana Júlia Porto;
WO0011;T013;Trator;Valtra;Val-T107;Alta;Corretiva;Concluída;2023-06-09 02:17;2023-06-09 23:15;2023-06-14 08:16;6301;Erro humano;Sistema elétrico;4;9,9;5,5;8;12,1;2,2;Armazém;Noite;6138;Juliana Lopes;
WO0012;T004;Trator;Valtra;Val-T81;Alta;Preventiva;Concluída;2024-03-24 15:03;2024-03-26 11:36;2024-03-27 19:53;1937;Manutenção programada;Ferramentas de corte;5;17,5;35;7;17,7;0,2;Fazenda B;Manhã;27262;João Vitor Carvalho;
WO0013;H011;Colhedora de cana;Valtra;Val-331;Alta;Corretiva;Concluída;2023-08-12 09:56;2023-08-12 17:01;2023-08-13 15:57;1376;Sobrecarga;Sistema hidráulico;5;9,6;32,1;16;11,5;1,9;Armazém;Noite;31437;Sr. Caio Almeida;Nisi sint in ex. Dolorem eum adipisci id at a aspernatur optio. Deserunt voluptas deserunt deserunt labore.
WO0014;H002;Colhedora de cana;New Holland;New-267;Média;Corretiva;Concluída;2024-03-06 08:50;2024-03-07 08:19;2024-03-07 15:53;454;Desgaste de peças;Sistema hidráulico;2;16,7;47,2;13;18,9;2,2;Armazém;Noite;725;Otto Vargas;
WO0015;H014;Colhedora de cana;AGCO;AGC-449;Alta;Preditiva;Em Andamento;2026-02-08 01:49;2026-02-08 11:12;;6619;Desgaste de peças;Sistema hidráulico;5;9;42,3;8;20,7;11,7;Fazenda B;Noite;1486;Heloísa Abreu;"Aut expedita rem nobis. Occaecati quo aut voluptate.
Magni nisi error quos quisquam. Eum molestias consectetur culpa officiis."
WO0016;H015;Colhedora de cana;Case IH;Cas-360;Alta;Preditiva;Aberta;2024-01-31 19:51;;;3390;Desgaste de peças;Motor;4;16;49,1;15;19;3;Armazém;Tarde;10736;Fernando Machado;
