OrderID,EquipmentID,EquipmentType,OrderType,Priority,CreationDate,FinishDate,Status,DowntimeHours,EstimatedCost,ActualCost,MaintenanceGroup,Description,AgeDays
1,COLH-039,Colhedora,Preventiva,4,2024-09-29,2024-10-03,Concluída,4.11,6697.72,6592.89,Hidráulica,Manutenção programada,4
2,COLH-029,Colhedora,Preventiva,1,2024-04-08,2024-04-26,Concluída,1.05,5172.28,4717.86,Mecânica,Manutenção programada,18
3,COLH-015,Colhedora,Preventiva,5,2024-09-08,2024-10-06,Concluída,4.13,5737.81,7021.3,Hidráulica,Manutenção programada,28
4,COLH-043,Colhedora,Corretiva,3,2024-12-03,2024-12-14,Concluída,7.8,3035.55,3159.11,Mecânica,Falha inesperada,11
5,COLH-008,Colhedora,Preventiva,2,2024-04-13,2024-04-18,Concluída,3.13,5348.32,5799.929999999999,Hidráulica,Manutenção programada,5
6,COLH-021,Colhedora,Corretiva,3,2024-08-01,2024-08-16,Em execução,5.16,3986.62,4793.57,Mecânica,Falha inesperada,15
7,COLH-039,Colhedora,Preventiva,2,2024-09-05,2024-10-03,Em execução,1.19,5711.95,4848.12,Mecânica,Manutenção programada,28
8,COLH-019,Colhedora,Corretiva,3,2024-05-31,2024-06-18,Em execução,8.32,7200.74,7003.66,Mecânica,Falha inesperada,18
9,COLH-023,Colhedora,Preventiva,2,2024-09-06,2024-09-08,Concluída,3.55,5434.28,6532.09,Elétrica,Manutenção programada,2
10,COLH-011,Colhedora,Preventiva,4,2024-10-01,2024-10-23,Em execução,3.7,3648.72,3510.25,Hidráulica,Manutenção programada,22
11,COLH-011,Colhedora,Preventiva,2,2024-06-13,2024-06-24,Concluída,3.59,5939.7,4868.79,Mecânica,Manutenção programada,11
12,COLH-024,Colhedora,Corretiva,2,2024-12-06,2025-01-01,Concluída,9.1,5602.68,5180.87,Elétrica,Falha inesperada,26
13,COLH-036,Colhedora,Corretiva,1,2024-01-08,2024-02-02,Concluída,5.23,8087.9,8158.889999999999,Mecânica,Falha inesperada,25
14,COLH-040,Colhedora,Preventiva,2,2024-10-10,2024-10-23,Em execução,3.77,5380.95,5814.36,Elétrica,Manutenção programada,13
15,COLH-024,Colhedora,Corretiva,1,2024-01-05,2024-01-09,Aberta,4.89,4121.79,4365.14,Mecânica,Falha inesperada,4
16,COLH-003,Colhedora,Preventiva,5,2024-05-24,2024-06-15,Aberta,4.11,6155.96,5964.59,Mecânica,Manutenção programada,22
17,COLH-022,Colhedora,Preventiva,1,2024-04-10,2024-04-17,Concluída,2.92,4808.48,5859.929999999999,Elétrica,Manutenção programada,7
18,COLH-002,Colhedora,Corretiva,4,2024-06-12,2024-07-11,Concluída,7.85,5120.38,5317.13,Elétrica,Falha inesperada,29
19,COLH-024,Colhedora,Preventiva,1,2024-05-26,2024-06-06,Em execução,3.87,3607.29,4074.81,Hidráulica,Manutenção programada,11
20,COLH-044,Colhedora,Corretiva,5,2024-03-04,2024-03-26,Em execução,11.0,4816.35,4667.59,Hidráulica,Falha inesperada,22
21,COLH-030,Colhedora,Preventiva,4,2024-03-31,2024-04-24,Em execução,3.77,5046.21,6553.360000000001,Elétrica,Manutenção programada,24
22,COLH-038,Colhedora,Preventiva,3,2024-04-26,2024-04-30,Em execução,2.18,4807.48,4794.179999999999,Hidráulica,Manutenção programada,4
23,COLH-002,Colhedora,Corretiva,3,2024-12-19,2025-01-16,Concluída,10.29,4113.67,4473.42,Elétrica,Falha inesperada,28
24,COLH-021,Colhedora,Corretiva,1,2024-09-23,2024-10-08,Concluída,5.56,5432.34,6560.34,Hidráulica,Falha inesperada,15
25,COLH-033,Colhedora,Preventiva,1,2024-11-05,2024-11-06,Concluída,3.79,3614.79,4138.82,Mecânica,Manutenção programada,1
26,COLH-012,Colhedora,Corretiva,5,2024-06-21,2024-07-14,Concluída,3.72,3261.51,3765.5800000000004,Hidráulica,Falha inesperada,23
27,COLH-022,Colhedora,Corretiva,5,2024-02-16,2024-02-19,Em execução,7.72,6064.3,4785.38,Mecânica,Falha inesperada,3
28,COLH-044,Colhedora,Corretiva,2,2024-05-19,2024-06-02,Concluída,5.54,5926.63,6771.14,Mecânica,Falha inesperada,14
29,COLH-025,Colhedora,Corretiva,5,2024-09-02,2024-09-08,Concluída,10.61,3038.59,3383.0600000000004,Hidráulica,Falha inesperada,6
30,COLH-049,Colhedora,Corretiva,2,2024-05-28,2024-06-15,Concluída,11.35,2255.67,2988.92,Elétrica,Falha inesperada,18
31,COLH-027,Colhedora,Corretiva,4,2024-09-02,2024-09-27,Concluída,8.6,3486.89,3933.46,Mecânica,Falha inesperada,25
32,COLH-042,Colhedora,Corretiva,1,2024-01-05,2024-01-06,Em execução,8.5,4807.55,4660.22,Mecânica,Falha inesperada,1
33,COLH-028,Colhedora,Preventiva,4,2024-07-02,2024-07-08,Em execução,3.7,6731.52,7746.97,Hidráulica,Manutenção programada,6
34,COLH-016,Colhedora,Corretiva,5,2024-01-20,2024-01-26,Em execução,11.36,4770.88,5229.38,Elétrica,Falha inesperada,6
35,COLH-015,Colhedora,Corretiva,4,2024-02-15,2024-03-07,Concluída,8.11,3845.96,3114.45,Elétrica,Falha inesperada,21
36,COLH-047,Colhedora,Corretiva,4,2024-01-12,2024-01-28,Concluída,6.5,5222.88,6569.6900000000005,Hidráulica,Falha inesperada,16
37,COLH-044,Colhedora,Corretiva,4,2024-03-10,2024-04-08,Concluída,9.94,4828.98,3984.5999999999995,Elétrica,Falha inesperada,29
38,COLH-003,Colhedora,Corretiva,5,2024-01-17,2024-01-22,Concluída,2.42,2928.49,3949.2299999999996,Hidráulica,Falha inesperada,5
39,COLH-037,Colhedora,Corretiva,4,2024-05-26,2024-06-12,Concluída,10.73,2937.41,4426.96,Hidráulica,Falha inesperada,17
40,COLH-007,Colhedora,Preventiva,2,2024-06-02,2024-06-12,Concluída,2.29,2977.7,2392.66,Hidráulica,Manutenção programada,10
41,COLH-021,Colhedora,Corretiva,5,2024-10-30,2024-11-27,Em execução,7.28,8719.78,8921.570000000002,Mecânica,Falha inesperada,28
42,COLH-009,Colhedora,Preventiva,4,2024-04-17,2024-05-08,Concluída,3.92,6289.97,6417.21,Mecânica,Manutenção programada,21
43,COLH-039,Colhedora,Preventiva,5,2024-08-23,2024-09-10,Em execução,2.58,4109.43,4272.650000000001,Mecânica,Manutenção programada,18
44,COLH-018,Colhedora,Corretiva,3,2024-11-03,2024-11-10,Concluída,9.94,6662.4,8426.59,Hidráulica,Falha inesperada,7
45,COLH-004,Colhedora,Preventiva,2,2024-12-17,2024-12-20,Concluída,4.14,4147.92,3572.1400000000003,Mecânica,Manutenção programada,3
46,COLH-025,Colhedora,Preventiva,4,2024-03-10,2024-03-23,Em execução,3.11,6612.77,6667.52,Mecânica,Manutenção programada,13
47,COLH-014,Colhedora,Corretiva,3,2024-07-01,2024-07-16,Concluída,8.93,5120.46,6623.12,Mecânica,Falha inesperada,15
48,COLH-009,Colhedora,Corretiva,3,2024-09-06,2024-09-26,Concluída,7.64,4011.72,4053.3599999999997,Hidráulica,Falha inesperada,20
49,COLH-026,Colhedora,Preventiva,5,2024-08-15,2024-09-03,Concluída,3.12,6019.73,5571.11,Hidráulica,Manutenção programada,19
50,COLH-002,Colhedora,Preventiva,3,2024-04-11,2024-04-14,Concluída,1.88,5206.28,5716.69,Hidráulica,Manutenção programada,3
51,COLH-020,Colhedora,Corretiva,2,2024-03-15,2024-03-19,Concluída,7.12,5597.4,6541.91,Mecânica,Falha inesperada,4
52,COLH-028,Colhedora,Preventiva,2,2024-08-03,2024-08-08,Aberta,1.71,5323.26,5308.99,Elétrica,Manutenção programada,5
53,COLH-047,Colhedora,Preventiva,1,2024-07-21,2024-07-22,Em execução,2.1,5307.52,6051.01,Mecânica,Manutenção programada,1
54,COLH-007,Colhedora,Preventiva,2,2024-07-10,2024-07-14,Aberta,1.0,6200.83,5399.54,Mecânica,Manutenção programada,4
55,COLH-044,Colhedora,Preventiva,3,2024-09-05,2024-09-17,Concluída,3.26,8875.71,8118.889999999999,Hidráulica,Manutenção programada,12
56,COLH-008,Colhedora,Preventiva,2,2024-08-29,2024-09-26,Em execução,4.69,6873.19,6821.12,Hidráulica,Manutenção programada,28
57,COLH-047,Colhedora,Corretiva,5,2024-06-27,2024-07-24,Concluída,6.63,5329.47,6101.4800000000005,Mecânica,Falha inesperada,27
58,COLH-035,Colhedora,Corretiva,1,2024-08-06,2024-08-30,Concluída,10.9,4534.09,5443.29,Mecânica,Falha inesperada,24
59,COLH-014,Colhedora,Corretiva,3,2024-03-22,2024-04-01,Concluída,11.38,4698.9,4053.2899999999995,Elétrica,Falha inesperada,10
60,COLH-017,Colhedora,Preventiva,1,2024-04-01,2024-04-24,Concluída,1.8,3115.81,3995.35,Elétrica,Manutenção programada,23
61,COLH-036,Colhedora,Corretiva,3,2024-06-23,2024-07-18,Concluída,5.05,5996.82,6430.03,Hidráulica,Falha inesperada,25
62,COLH-040,Colhedora,Corretiva,5,2024-08-26,2024-09-16,Concluída,10.97,3477.62,3074.2599999999998,Elétrica,Falha inesperada,21
63,COLH-004,Colhedora,Preventiva,1,2024-09-16,2024-10-15,Aberta,2.91,4441.32,3673.97,Elétrica,Manutenção programada,29
64,COLH-002,Colhedora,Corretiva,4,2024-12-30,2025-01-25,Em execução,4.13,6005.52,6489.38,Hidráulica,Falha inesperada,26
65,COLH-006,Colhedora,Preventiva,3,2024-06-11,2024-07-01,Concluída,2.36,4644.01,5975.66,Elétrica,Manutenção programada,20
66,COLH-042,Colhedora,Preventiva,4,2024-02-17,2024-03-12,Aberta,3.42,4261.57,4589.99,Mecânica,Manutenção programada,24
67,COLH-004,Colhedora,Corretiva,1,2024-11-24,2024-12-19,Aberta,5.62,3203.78,2755.84,Elétrica,Falha inesperada,25
68,COLH-029,Colhedora,Corretiva,4,2024-11-23,2024-12-06,Concluída,0.32,6807.99,5613.57,Hidráulica,Falha inesperada,13
69,COLH-018,Colhedora,Corretiva,4,2024-04-25,2024-05-18,Aberta,7.03,3750.17,5273.76,Mecânica,Falha inesperada,23
70,COLH-026,Colhedora,Corretiva,1,2024-12-02,2024-12-16,Concluída,7.28,4121.19,5254.67,Elétrica,Falha inesperada,14
71,COLH-044,Colhedora,Corretiva,5,2024-12-02,2024-12-25,Em execução,8.03,2312.41,2854.0699999999997,Mecânica,Falha inesperada,23
72,COLH-034,Colhedora,Corretiva,4,2024-08-12,2024-08-17,Concluída,11.78,4970.21,6452.610000000001,Mecânica,Falha inesperada,5
73,COLH-010,Colhedora,Corretiva,4,2024-12-17,2024-12-21,Concluída,8.16,4500.06,4979.200000000001,Elétrica,Falha inesperada,4
74,COLH-036,Colhedora,Corretiva,5,2024-11-23,2024-12-07,Concluída,8.73,5272.79,5147.96,Elétrica,Falha inesperada,14
75,COLH-014,Colhedora,Corretiva,4,2024-05-26,2024-06-05,Concluída,11.17,3238.05,3982.1600000000003,Hidráulica,Falha inesperada,10
76,COLH-031,Colhedora,Corretiva,4,2024-03-03,2024-03-20,Concluída,8.03,6101.27,5737.490000000001,Hidráulica,Falha inesperada,17
77,COLH-048,Colhedora,Corretiva,4,2024-10-20,2024-10-30,Em execução,14.41,2241.18,1744.6599999999999,Mecânica,Falha inesperada,10
78,COLH-015,Colhedora,Corretiva,2,2024-11-18,2024-12-14,Concluída,4.21,4861.73,5779.0199999999995,Hidráulica,Falha inesperada,26
79,COLH-008,Colhedora,Preventiva,5,2024-11-20,2024-11-27,Concluída,2.07,5173.23,6157.839999999999,Mecânica,Manutenção programada,7
